Depmap Id,Cell Line,Primary Disease,Tumor Type
ACH-000496,NCIH1792,Lung Cancer,Metastasis
ACH-001075,NCIH292,Lung Cancer,Metastasis
ACH-000585,EPLC272H,Lung Cancer,Primary
ACH-000749,DMS273,Lung Cancer,Metastasis
ACH-000442,RERFLCSQ1,Lung Cancer,Primary
ACH-000382,CORL24,Lung Cancer,Metastasis
ACH-000339,HCC461,Lung Cancer,
ACH-002122,GT3TKB,Lung Cancer,Metastasis
ACH-000530,DMS114,Lung Cancer,Primary
ACH-000780,NCIH1105,Lung Cancer,Metastasis
ACH-002157,LC2AD,Lung Cancer,Metastasis
ACH-000891,HCC1438,Lung Cancer,Primary
ACH-001556,MERO25,Lung Cancer,Primary
ACH-000888,NCIH1793,Lung Cancer,Primary
ACH-000012,HCC827,Lung Cancer,Primary
ACH-000508,CORL88,Lung Cancer,Metastasis
ACH-000187,CORL311,Lung Cancer,Primary
ACH-000868,HCC1195,Lung Cancer,Primary
ACH-002154,LB647SCLC,Lung Cancer,
ACH-000563,EBC1,Lung Cancer,Metastasis
ACH-000416,NCIH838,Lung Cancer,Metastasis
ACH-000109,NCIH3255,Lung Cancer,Primary
ACH-000731,HCC2279,Lung Cancer,Primary
ACH-000523,NCIH1184,Lung Cancer,Metastasis
ACH-000021,NCIH1693,Lung Cancer,Metastasis
